lokacija,ime,cena,ocena gostov,število zvezdic
Amsterdam,Orange Tulip Hotel,€ 328,"6,2",1
Amsterdam,Hotel Continental Amsterdam,€ 508,"5,1",1
Amsterdam,Amsterdam Downtown Hotel,€ 419,"6,9",2
Amsterdam,Weber Hotel,€ 547,"8,1",2
Amsterdam,Hotel Manofa,€ 333,"7,2",2
Amsterdam,Hotel Washington,€ 352,"7,2",2
Amsterdam,Dam Hotel,€ 375,"6,2",2
Amsterdam,Facade Hotel Amsterdam,€ 419,"7,1",2
Amsterdam,Hotel Flipper Amsterdam,€ 284,"6,3",2
Amsterdam,Hotel Titus City Centre,€ 342,"6,6",2
Amsterdam,Weber Hotel 397,€ 461,"8,5",2
Amsterdam,Quentin England Hotel,€ 460,"6,3",2
Amsterdam,Hotel Pagi,€ 435,"7,0",2
Amsterdam,Hotel Amsterdam Inn,€ 411,"6,7",2
Amsterdam,Budget Trianon Hotel,€ 540,"6,8",2
Amsterdam,Travel Hotel Amsterdam,€ 460,"6,4",2
Amsterdam,Historic Centre Hotel,€ 557,"7,9",2
Amsterdam,Hotel Damrak Inn,€ 918,"7,1",2
Amsterdam,ibis budget Amsterdam Airport,€ 168,"7,6",2
Amsterdam,Maxhotel Amsterdam Airport Schiphol,€ 184,"7,8",2
Amsterdam,Hotel Velsen,€ 139,"7,0",2
Amsterdam,Joy Hotel,€ 326,"7,4",3
Amsterdam,"Holiday Inn Express Amsterdam - Sloterdijk Station, an IHG Hotel",€ 446,"8,0",3
Amsterdam,The Arcade Hotel Amsterdam,€ 368,"7,8",3
Amsterdam,Q-Factory Hotel,€ 309,"7,1",3
Amsterdam,Aadam Hotel Wilhelmina,€ 284,"7,1",3
Amsterdam,Hotel City Garden Amsterdam,€ 397,"7,1",3
Amsterdam,Dream Hotel Amsterdam,€ 445,"7,9",3
Amsterdam,"Holiday Inn Express Amsterdam - City Hall, an IHG Hotel",€ 521,"8,2",3
Amsterdam,Hotel & Wellness Zuiver,€ 474,"8,3",3
Amsterdam,Melrose Hotel,€ 465,"7,7",3
Amsterdam,Hotel Fita,€ 560,"8,7",3
Amsterdam,The Bolster,€ 390,"7,4",3
Amsterdam,Hotel Iron Horse Amsterdam,€ 445,"7,4",3
