lokacija,ime,cena,ocena gostov,število zvezdic
Lizbona,Patria Hotel,€ 178,"8,1",1
Lizbona,Hotel Nova Cidade,€ 80,"7,9",1
Lizbona,Stay Hotel Lisboa Centro Saldanha,€ 131,"7,7",2
Lizbona,Moov Hotel Lisboa Oriente,€ 153,"8,6",2
Lizbona,Hotel Gat Rossio,€ 184,"8,5",2
Lizbona,Hotel ibis Lisboa Saldanha,€ 167,"8,3",2
Lizbona,Hotel DAH - Dom Afonso Henriques,€ 135,"7,8",2
Lizbona,Hotel Dom Sancho I,€ 176,"7,8",2
Lizbona,Imperador Hotel,€ 168,"7,8",2
Lizbona,TURIM Luxe Hotel,€ 194,"7,6",2
Lizbona,Hotel Sete Colinas,€ 214,"8,6",2
Lizbona,Hotel Nazareth,€ 183,"7,6",2
Lizbona,Hotel Canada,€ 223,"8,4",2
Lizbona,Hotel ibis Lisboa Jose Malhoa,€ 180,"8,0",2
Lizbona,Mouraria Lisboa Hotel,€ 198,"8,6",2
Lizbona,Hotel Amadora Palace,€ 100,"8,0",2
Lizbona,Hotel Primavera,€ 96,"7,8",2
Lizbona,Moov Hotel Oeiras,€ 70,"8,4",2
Lizbona,Flag Hotel Lisboa Oeiras,€ 87,"7,6",2
Lizbona,Real Caparica Hotel,€ 100,"8,0",2
Lizbona,Hotel Residencial Colibri,€ 119,"7,7",2
Lizbona,Hotel Ibis Lisboa Sintra,€ 99,"7,7",2
Lizbona,Hotel Sao Mamede,€ 90,"7,1",2
Lizbona,Hotel Smart,€ 109,"8,4",2
Lizbona,Exe Saldanha,€ 200,"8,8",3
Lizbona,Star inn Lisbon Airport,€ 174,"8,7",3
Lizbona,Moxy Lisboa Oriente,€ 163,"8,7",3
Lizbona,B&B HOTEL Lisboa Aeroporto,€ 119,"8,0",3
Lizbona,Masa Hotel 5 de Outubro,€ 127,"8,3",3
Lizbona,Hotel Alif Campo Pequeno,€ 141,"8,3",3
Lizbona,Stay Hotel Lisboa Aeroporto,€ 120,"7,7",3
Lizbona,Ikonik Lisboa,€ 168,"8,7",3
Lizbona,Hotel Travel Park Lisboa,€ 179,"8,3",3
Lizbona,Duplo Charme Boutique Hotel,€ 178,"8,2",3
Lizbona,"Holiday Inn Express Lisbon Airport, an IHG Hotel",€ 184,"8,0",3
Lizbona,Browns Downtown Hotel,€ 256,"8,6",3
Lizbona,HF Fenix Garden,€ 181,"8,7",3
Lizbona,JAM Lisbon,€ 326,"8,8",3
Lizbona,"Holiday Inn Express Lisboa - Av. Liberdade, an IHG Hotel",€ 206,"8,5",3
Lizbona,Hotel A.S. Lisboa,€ 150,"8,0",3
Lizbona,Zurin Charm Hotel,€ 163,"8,7",3
Lizbona,Ibis Styles Lisboa Centro Marquês de Pombal,€ 197,"8,4",3
Lizbona,Hotel Dom Carlos Liberty,€ 186,"8,4",3
Lizbona,Hotel Nacional,€ 135,"7,5",3
Lizbona,America Diamonds Hotel,€ 217,"8,4",3
Lizbona,EXE Liberdade,€ 213,"8,4",3
Lizbona,SANA Rex Hotel,€ 191,"7,5",3
Lizbona,Hotel Dom Carlos Park,€ 179,"8,0",3
Lizbona,Hotel Botanico,€ 205,"8,5",3
Lizbona,VIP Inn Berna Hotel,€ 132,"7,6",3
Lizbona,Amazonia Lisboa Hotel,€ 182,"7,9",3
Lizbona,Hotel Ibis Lisboa Parque das Nações,€ 166,"8,3",3
Lizbona,Hotel Principe Lisboa,€ 222,"8,9",3
Lizbona,Hotel Lis Baixa,€ 256,"8,6",3
Lizbona,Maxime Hotel Lisbon,€ 248,"8,9",3
Lizbona,My Story Hotel Tejo,€ 217,"8,8",3
Lizbona,Lisbon City Hotel by City Hotels,€ 140,"8,0",3
Lizbona,Hotel Avenida Park,€ 140,"6,8",3
Lizbona,"The 7 Hotel, Suites, Studios & Apartments",€ 241,"8,5",3
Lizbona,Monte Belvedere Hotel by Shiadu,€ 331,"9,1",3
Lizbona,TURIM Restauradores Hotel,€ 298,"7,8",3
Lizbona,Hotel Excelsior,€ 150,"6,8",3
Lizbona,Hotel Miraparque,€ 260,"8,2",3
Lizbona,HF Fenix Music,€ 323,"8,8",3
Lizbona,AMMA Lisboa Hotel,€ 170,"8,6",3
Lizbona,Hotel Do Chile,€ 295,"7,5",3
Lizbona,Rossio Garden Hotel,€ 387,"8,2",3
Lizbona,Nicola Rossio Hotel,€ 301,"9,1",3
Lizbona,Blue Liberdade Hotel,€ 488,"9,5",3
Lizbona,Hotel White Lisboa,€ 357,"8,6",3
Lizbona,Mama Shelter Lisboa,€ 420,"8,5",3
Lizbona,My Story Hotel Rossio,€ 224,"8,9",3
Lizbona,Hotel Anjos,€ 125,"6,9",3
Lizbona,VIP Executive Zurique Hotel,€ 176,"7,5",3
Lizbona,The ICONS Lisbon Central Hotel,€ 145,"7,5",3
Lizbona,Hotel Flamingo,€ 245,"6,5",3
Lizbona,Hotel Metropole,€ 296,"7,9",3
Lizbona,Pestana Rua Augusta Lisboa,€ 351,"9,2",4
Lizbona,TURIM Iberia Hotel,€ 168,"8,3",4
Lizbona,TURIM Saldanha Hotel,€ 201,"8,2",4
Lizbona,Ramada by Wyndham Lisbon,€ 147,"8,1",4
Lizbona,Hills Hotel Lisboa,€ 189,"8,0",4
Lizbona,TURIM Alameda Hotel,€ 218,"8,2",4
Lizbona,Olissippo Oriente,€ 198,"8,8",4
Lizbona,TURIM Lisboa Hotel,€ 223,"7,9",4
Lizbona,TURIM Europa Hotel,€ 251,"8,2",4
Lizbona,Locke de Santa Joana,€ 322,"9,0",4
Lizbona,"Look Living, Lisbon Design Apartments",€ 372,"9,6",4
Lizbona,Lux Lisboa Park,€ 416,"8,8",4
Lizbona,TURIM Terreiro do Paço Hotel,€ 370,"7,9",4
Lizbona,TURIM Marques Hotel,€ 343,"8,2",4
Lizbona,Tivoli Oriente Lisboa Hotel,€ 218,"8,5",4
Lizbona,Hotel Acores Lisboa,€ 170,"8,5",4
Lizbona,Hotel 3K Madrid,€ 147,"7,4",4
Lizbona,NH Lisboa Campo Grande,€ 193,"8,6",4
Lizbona,HF Fenix Lisboa,€ 221,"8,3",4
Lizbona,Hotel 3K Barcelona,€ 131,"7,9",4
Lizbona,Radisson Blu Hotel Lisbon,€ 211,"7,8",4
Lizbona,Hotel Alif Avenidas,€ 189,"8,4",4
Lizbona,Jupiter Lisboa Hotel,€ 253,"8,7",4
Lizbona,OMID Saldanha Hotel,€ 162,"8,5",4
Lizbona,Novotel Lisboa,€ 197,"7,7",4
Lizbona,Dos Reis by The Beautique Hotels,€ 247,"9,1",4
Lizbona,EVOLUTION Lisboa Hotel,€ 225,"8,5",4
Lizbona,Melia Lisboa Oriente Hotel,€ 273,"9,0",4
Lizbona,Grape Harbor Prata Apartments,€ 261,"9,2",4
Lizbona,Lutecia Smart Design Hotel,€ 162,"8,3",4
Lizbona,Olissippo Saldanha,€ 218,"8,8",4
Lizbona,Zenit Lisboa,€ 213,"8,5",4
Lizbona,1908 Lisboa Hotel,€ 262,"9,2",4
Lizbona,Hotel Florida,€ 174,"7,8",4
Lizbona,Hotel Mundial,€ 325,"8,5",4
Lizbona,Hotel 3K Europa,€ 186,"8,3",4
Lizbona,SANA Metropolitan Hotel,€ 274,"8,6",4
Lizbona,WC by The Beautique Hotels,€ 275,"8,7",4
Lizbona,"Holiday Inn Lisbon-Continental, an IHG Hotel",€ 254,"8,0",4
Lizbona,Smy Lisboa,€ 252,"8,1",4
Lizbona,ibis Styles Lisboa Aeroporto,€ 166,"8,8",4
Lizbona,Rossio Boutique Hotel,€ 275,"8,1",4
Lizbona,EVOLUTION Valbom,€ 217,"8,2",4
Lizbona,Vincci Liberdade,€ 358,"8,9",4
Lizbona,Lumen Hotel & The Lisbon Light Show,€ 328,"9,1",4
Lizbona,Avani Avenida Liberdade Lisbon Hotel,€ 325,"8,4",4
Lizbona,BessaHotel Liberdade,€ 419,"9,1",4
Lizbona,LUSTER Hotel,€ 353,"9,2",4
Lizbona,Legendary Lisboa Suites,€ 240,"8,2",4
Lizbona,Hotel Principe Avila,€ 325,"9,1",4
Lizbona,Lx Boutique Hotel,€ 271,"8,4",4
Lizbona,My Story Hotel Figueira,€ 280,"9,0",4
Lizbona,Vincci Baixa,€ 408,"8,7",4
Lizbona,São Vicente Alfama Hotel by TRIUS Hotels,€ 328,"9,5",4
Lizbona,"Convent Square Lisbon, Vignette Collection, an IHG Hotel",€ 475,"9,3",4
Lizbona,Figueira by The Beautique Hotels & Spa,€ 374,"8,7",4
Lizbona,Pousada Alfama,€ 368,"9,2",4
Lizbona,Madalena by The Beautique Hotels,€ 374,"8,9",4
Lizbona,Pestana CR7 Lisboa,€ 410,"8,4",4
Lizbona,DoubleTree by Hilton Lisbon Fontana Park,€ 417,"7,5",4
Lizbona,"DUO Hotel Lisbon, Curio Collection by Hilton",€ 517,"9,0",4
Lizbona,Heritage Avenida Liberdade - Lisbon Heritage Collection - Avenida,€ 546,"9,1",4
Lizbona,As Janelas Verdes Inn - Lisbon Heritage Collection - Riverside,€ 503,"9,0",4
Lizbona,Casual Belle Epoque Lisboa,€ 350,"8,3",4
Lizbona,Altis Suites Apartamentos Turísticos,€ 313,"8,7",4
Lizbona,PortoBay Marquês,€ 307,"8,9",4
Lizbona,Haws Lisboa,€ 415,"9,6",4
Lizbona,TURIM Av. Liberdade Hotel,€ 345,"7,6",4
Lizbona,Hotel Lisboa Plaza - Lisbon Heritage Collection - Avenida,€ 424,"8,6",4
Lizbona,behotelisboa,€ 264,"8,6",4
Lizbona,Hotel Hotel - Member of Design Hotels,€ 626,"9,4",4
Lizbona,Altis Prime Hotel,€ 359,"8,7",4
Lizbona,OnJ S. Lazaro Lisboa,€ 350,"8,9",4
Lizbona,Solar do Castelo - Lisbon Heritage Collection - Alfama,€ 484,"9,2",4
Lizbona,Hotel do Chiado,€ 520,"8,9",4
Lizbona,Hotel Santa Justa,€ 573,"9,1",4
Lizbona,The Lift Apartments by RIDAN Hotels,€ 435,"9,1",4
Lizbona,MASA Hotel & Spa Campo Grande Collection,€ 201,"8,4",4
Lizbona,VIP Executive Entrecampos Hotel & Conference,€ 166,"7,9",4
Lizbona,VIP Executive Arts Hotel,€ 200,"8,3",4
Lizbona,VIP Executive Saldanha,€ 200,"8,0",4
Lizbona,VIP Executive Picoas Hotel,€ 227,"8,9",4
Lizbona,Upon Lisbon Prime Residences,€ 226,"9,0",4
Lizbona,VIP Executive Suites do Marquês Hotel,€ 289,"9,1",4
Lizbona,Memmo Alfama - Design Hotels,€ 472,"9,1",4
Lizbona,The House on the Pink Street in Lisbon,€ 354,"9,7",4
Lizbona,Dom Pedro Lisboa,€ 220,"8,6",5
Lizbona,Wine & Books Lisboa Hotel,€ 395,"9,3",5
Lizbona,TURIM Boulevard Hotel,€ 593,"8,5",5
Lizbona,Eurostars Universal Lisboa,€ 221,"8,6",5
Lizbona,MYRIAD by SANA Hotels,€ 272,"9,2",5
Lizbona,Hotel Real Palacio,€ 243,"8,1",5
Lizbona,EPIC SANA Lisboa Hotel,€ 399,"9,3",5
Lizbona,Palácio do Governador - Lisbon Hotel & Spa,€ 548,"8,9",5
Lizbona,Altis Grand Hotel,€ 303,"8,6",5
Lizbona,Santiago de Alfama - Boutique Hotel,€ 428,"9,3",5
Lizbona,Tivoli Avenida Liberdade Lisboa – A Leading Hotel of the World,€ 579,"8,6",5
Lizbona,Art Legacy Hotel Baixa-Chiado,€ 392,"9,4",5
Lizbona,Eurostars Das Letras,€ 355,"8,6",5
Lizbona,Corinthia Lisbon,€ 425,"8,9",5
Lizbona,"The Editory Riverside Hotel, an Historic Hotel",€ 298,"8,5",5
Lizbona,"Altis Belem Hotel & Spa, a Member of Design Hotels",€ 596,"8,9",5
Lizbona,"InterContinental Lisbon, an IHG Hotel",€ 607,"8,7",5
Lizbona,PortoBay Liberdade,€ 431,"9,0",5
Lizbona,Altis Avenida Hotel,€ 466,"9,2",5
Lizbona,Montebelo Vista Alegre Lisboa Chiado Hotel,€ 478,"9,3",5
Lizbona,The Vintage Hotel & Spa Lisbon,€ 448,"9,1",5
Lizbona,The Lumiares Hotel & Spa - Small Luxury Hotels Of The World,€ 500,"9,0",5
Lizbona,Pousada de Lisboa - Small Luxury Hotels Of The World,€ 614,"9,0",5
Lizbona,Verride Palácio Santa Catarina,€ 998,"9,2",5
Lizbona,Sheraton Lisboa Hotel & Spa,€ 862,"8,5",5
Lizbona,Olissippo Lapa Palace – The Leading Hotels of the World,€ 1.083,"9,4",5
Lizbona,Browns Avenue Hotel,€ 736,"9,0",5
Lizbona,Palácio Ludovice Wine Experience Hotel,€ 1.508,"9,3",5
Lizbona,Martinhal Lisbon Chiado,€ 378,"9,2",5
Lizbona,VIP Grand Lisboa Hotel & Spa,€ 243,"7,7",5
Lizbona,Corpo Santo Lisbon Historical Hotel,€ 560,"9,4",5
Lizbona,Four Seasons Hotel Ritz Lisbon,€ 1.338,"8,9",5
Lizbona,Hotel Valverde Lisboa - Relais & Chateaux,€ 613,"8,8",5
Lizbona,Bairro Alto Hotel,€ 988,"9,1",5
